Brand,Model,Engine Capacity,Price,Kilometers,Location
TVS Jupiter,2019,109,56000,15930,"Ayanavaram, Chennai"
Bajaj Pulsar,2000,NA,12000,50000,"Nungambakkam High Road, Chennai"
Yamaha Fazer,2017,123.7,42000,30500,"2Nd Main Road, Chennai"
Hero Pleasure 100,2018,102,35000,9000,"Washermanpet, Chennai"
Yamaha RX135,1997,132,52000,25000,"Guindy, Chennai"
Bajaj Pulsar,2010,134.66,13000,50800,"Pammal, Chennai"
Royal Enfield Bullet Classic,2017,346,130000,40000,"Nungambakkam, Chennai"
Suzuki Access,2011,124,16500,49999,"Perambakkam, Chennai"
Bajaj Pulsar,2009,NA,22000,NA,"Vysarpadi, Chennai"
Bajaj Pulsar,2000,NA,12000,50000,"Nungambakkam High Road, Chennai"
Royal Enfield Thunderbird 350,2012,346,65000,45000,"Anna Nagar, Chennai"
Honda Dio,2019,109,50000,18000,"Kk Nagar, Chennai"
Honda CB Unicorn,2013,149.1,35000,49564,"Royappa Nagar, Chennai"
TVS Ntorq 125,2018,124.79,58000,18000,"Porur, Chennai"
Yamaha RXG 135,1996,NA,80000,20000,"Pallikaranai, Chennai"
Royal Enfield Classic Desert Storm,2016,499,98000,23000,"Perambur, Chennai"
Bajaj Pulsar RS200,2016,199.5,105000,20000,"Perambur Barracks, Chennai"
TVS Jupiter,2014,109,26500,45000,"Chrompet, Chennai"
Honda Activa 4G,2020,109.2,54000,12000,"Anna Nagar East, Chennai"
Honda Shine SP,2018,124.73,55000,24000,"Poonamallee, Chennai"
Bajaj Pulsar 220F,2016,220,60000,35000,"Avadi, Chennai"
Hero Splendor Plus 100,2007,97.2,12499,48000,"Perungalathur, Chennai"
Hero Maestro,2015,109,30000,25000,"Avadi, Chennai"
Suzuki Access,2010,124,21000,28000,"Ambattur, Chennai"
Honda Shine SP,2011,124.73,22000,45000,"Kilpauk, Chennai"
Royal Enfield Thunderbird 350,2017,346,110000,33000,"Sholingnallur, Chennai"
Suzuki Access,2018,124,72000,1690,"Old Pallavaram, Chennai"
Honda Activa,2012,109,19000,35000,"Pallikaranai, Chennai"
Honda Activa,2020,109,65000,8000,"Tiruvottiyur, Chennai"
Honda Shine SP,2015,124.73,42000,27000,"Porur, Chennai"
Suzuki Intruder 150,NA,154.9,20000,35000,"Thiruverkadu, Chennai"
Honda Activa 4G,2018,109.2,56000,13000,"Anna Salai, Chennai"
Yamaha YZF R15,2019,149,92500,19250,"Pallavaram, Chennai"
Honda Activa 4G,2019,109.2,58000,37000,"Madhavaram, Chennai"
Honda Activa 4G,2018,109.2,49999,20600,"Perambur, Chennai"
Aprilia SR 150,2020,154.4,95000,8000,"Villivakkam, Chennai"
Honda Activa,2012,109,19000,35000,"Medavakkam, Chennai"
Bajaj Discover 100 M,2010,102,19000,30000,"Madipakkam, Chennai"
Honda Activa 4G,2020,109.2,62000,1262,"Iyyappanthangal, Chennai"
Suzuki Access,2012,124,22000,30000,"Madipakkam, Chennai"
Bajaj Pulsar 220F,2008,220,25000,50000,"Periyar Nagar, Chennai"
TVS Jupiter,2017,109,43500,30000,"Palavakkam, Chennai"
Royal Enfield Bullet,NA,346,105000,30000,"Tambaram East, Chennai"
Royal Enfield Thunderbird 350,2006,346,75000,80000,"Guindy, Chennai"
Honda Activa,2011,109,18000,20000,"Kovilambakkam, Chennai"
Honda CB Unicorn,2014,149.1,40000,30000,"Rv Nagar, Chennai"
Bajaj Pulsar 180,2018,178.6,52500,65000,"Vandalur, Chennai"
Bajaj Pulsar 180,2012,178.6,30000,48000,"Saligramam, Chennai"
Honda Grazia,2017,124.9,42000,22731,"Porur, Chennai"
Benelli TNT302,2015,300,204999,29400,"Royapuram, Chennai"
Honda Dio,2019,109,60000,5500,"Alandur, Chennai"
